date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:40	114/114	---MCZ	404	error ('Not%20Found')	text/html		https://api.saures.ru/robots.txt		(from )
17:35:40	21543/21543	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/index.html	(from )
17:35:40	5163/5163	---M--	200	added ('OK')	image/png	etag:%2267d30d71-142b%22	https://api.saures.ru/img/apple-touch-icon.png	C:/My%20Web%20Sites/saures/api.saures.ru/img/apple-touch-icon.png	(from https://api.saures.ru/doc/1.0/)
17:35:40	1957/1957	---M--	200	added ('OK')	image/png	etag:%2267d30d71-7a5%22	https://api.saures.ru/img/favicon-32x32.png	C:/My%20Web%20Sites/saures/api.saures.ru/img/favicon-32x32.png	(from https://api.saures.ru/doc/1.0/)
17:35:41	1426/1426	---M--	200	added ('OK')	image/png	etag:%2267d30d71-592%22	https://api.saures.ru/img/favicon-16x16.png	C:/My%20Web%20Sites/saures/api.saures.ru/img/favicon-16x16.png	(from https://api.saures.ru/doc/1.0/)
17:35:41	792299/792299	---MCZ	200	added ('OK')	text/css	etag:W/%2267d30d71-c16eb%22	https://api.saures.ru/styles/documentation.css	C:/My%20Web%20Sites/saures/api.saures.ru/styles/documentation.css	(from https://api.saures.ru/doc/1.0/)
17:35:41	20956/20956	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/login	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/login.html	(from https://api.saures.ru/doc/1.0/)
17:35:41	26973/26973	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/user/profile	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/user/profile.html	(from https://api.saures.ru/doc/1.0/)
17:35:41	25437/25437	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/user/objects	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/user/objects.html	(from https://api.saures.ru/doc/1.0/)
17:35:42	26633/26633	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/object/get	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/object/get.html	(from https://api.saures.ru/doc/1.0/)
17:35:42	39092/39092	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/object/meters	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/object/meters.html	(from https://api.saures.ru/doc/1.0/)
17:35:42	29212/29212	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/meter/get	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/meter/get.html	(from https://api.saures.ru/doc/1.0/)
17:35:42	21622/21622	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/meter/control	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/meter/control.html	(from https://api.saures.ru/doc/1.0/)
17:35:43	29720/29720	---MCZ	200	added ('OK')	text/html		https://api.saures.ru/doc/1.0/meter/settings	C:/My%20Web%20Sites/saures/api.saures.ru/doc/1.0/meter/settings.html	(from https://api.saures.ru/doc/1.0/)
